// 애니회수 - 0 : 무한 반복	
// 대사내용 - ""안에 대사 내용 입력, ""안에 " 금지, ; 는 줄 바꿈	
//대사번호	대사내용
//튜토리얼용 대사 스크립트 추가. 2009.07.01. By kaisa2(이채선)	
15804	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 101레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15805	"던전 1~2층에서 출몰하는 '해골 궁수' 50마리, '헬하운드' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15806	"던전 1~2층에서 출몰하는 '싸이크롭스' 50마리, '고스트' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15807	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 111레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15808	"던전 2층에서 출몰하는 '헬하운드' 50마리, '헬스파이더' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15809	"던전 2층에서 출몰하는 '해골 궁수' 50마리, '헬하운드' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15810	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 121레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15811	"던전 2층에서 출몰하는 '해골 전사 대장' 50마리, '썬더리치' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15812	"던전 2층에서 출몰하는 '헬하운드' 50마리, '헬스파이더' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15813	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 131레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15814	"던전 2층에서 출몰하는 '포이즌 소뿔전사' 50마리, '다크나이트' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15815	"던전 2층에서 출몰하는 '헬스파이더' 50마리, '해골전사대장' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15816	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 141레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15817	"던전 3층에서 출몰하는 '다크나이트' 50마리, '고르곤' 10마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15818	"던전 2층에서 출몰하는 '해골전사대장' 50마리, '썬더리치' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15819	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 161레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15820	"던전 2~3층에서 출몰하는 '포이즌 소뿔전사' 50마리, '다크나이트' 50마리, '고르곤' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15821	"던전 2~3층에서 출몰하는 '포이즌 소뿔전사' 50마리, '다크나이트' 5마리, '고르곤' 1마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15822	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 166레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15823	"로스트 타워 1층에서 출몰하는 '쉐도우' 50마리, '포이즌 쉐도우' 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15824	"데비아스 4지역을 배회하는 아이스 퀸 5마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15825	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 171레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15826	"로스트 타워 2층에서 출몰하는 '포이즌 쉐도우' 50마리, '저주받은 법사' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15827	"엘베란드 3지역에서 출몰하는 괴수 우씨 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15828	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 180레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15829	"로스트 타워 3층에서 출몰하는 '저주받은 법사' 50마리, '데스카우' 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15830	"엘베란드 3지역에서 출몰하는 괴수우씨 대장 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15831	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 186레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15832	"로스트 타워 3~4층에서 출몰하는 '데쓰 카우' 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15833	"로스트 타워 1층에서 출몰하는 쉐도우 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15834	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 190레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15835	"로스트 타워 4층에서 출몰하는 '데쓰 카우' 50마리, '데빌' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15836	"로스트 타워 1층에서 출몰하는 '쉐도우' 50마리, '포이즌 쉐도우' 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15837	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 194레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15838	"로스트 타워 4~6층에서 출몰하는 '데빌' 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15839	"로스트 타워 2층에서 출몰하는 '포이즌 쉐도우' 50마리, '저주받은 법사' 30마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15840	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 198레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15841	"로스트 타워 5~7층에서 출몰하는 '데쓰나이트' 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15842	"로스트 타워 3층에서 출몰하는 '저주받은 법사' 50마리, '데쓰 카우' 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15843	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 202레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15844	"로스트 타워 7층에서 출몰하는 '데쓰나이트' 50마리, '데쓰고르곤' 50마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15845	"로스트 타워 3~4층에서 출몰하는 '데쓰 카우' 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15846	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 206레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15847	"로스트 타워 7층에서 출몰하는 '데쓰고르곤' 50마리, '발록' 10마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15848	"로스트 타워 4~6층에서 출몰하는 '데빌' 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15849	"여행자들에게 쉐도우 팬텀 부대에서 의뢰를 맡기려 합니다. 새로운 도전을 위한 장비가 필요하다면 도전해보세요. 210레벨이 되기 전에 '쉐도우 팬텀 부대원'을 찾아가세요."
15850	"로스트 타워 7층에서 출몰하는 '데쓰나이트' 50마리, '데쓰고르곤' 30마리, '발록' 20마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15851	"로스트 타워 5~7층에서 출몰하는 '데쓰나이트' 100마리를 퇴치해주십시오. 퇴치를 완료하시면 쉐도우 팬텀 부대원에게 보상을 받으실 수 있습니다."
15901	"의뢰의 시작"
15902	"던전을 정복하라! (1)"
15903	"던전을 정복하라! (2)"
15904	"던전을 정복하라! (3)"
15905	"던전을 정복하라! (4)"
15906	"던전을 정복하라! (5)"
15907	"던전을 정복하라! (6)"
15908	"척후부대의 임무(1)"
15909	"척후부대의 임무(2)"
15910	"척후부대의 임무(3)"
15911	"척후부대의 임무(4)"
15912	"로스트 타워를 잠재워라! (1)"
15913	"로스트 타워를 잠재워라! (2)"
15914	"로스트 타워를 잠재워라! (3)"
15915	"로스트 타워를 잠재워라! (4)"
15916	"로스트 타워를 잠재워라! (5)"
15917	"로스트 타워를 잠재워라! (6)"
//2009.09.15 16xxx 반복 퀘스트 추가 by stunlee(이준희)	
16001	"최근 마계 군단의 총사령관이 베파르를 조정해 봉인석을 탐사중인  겐스원들을 위협하고 있다고 아틀라스 탐사대에서 지원을 요청하셨습니다. 베파르들을 쫓아버리고 겐스원들을 지켜주세요."
16002	"………"
16003	"알겠습니다. 제가 도와드리겠습니다."
16004	"지금은 바빠서 도와드릴 수가 없군요."
16005	"탐사를 방해하는 베파르 50마리 제거하고 돌아오면 보상을 드리겠습니다"
16006	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
16011	"아이다 지역에 파병중인 수색부대로부터 최근 데스트리의 숫자가 급속도로 증가되고 있다는 이상현상이 포착되었습니다. 아이다 지역의 데스트리 50마리를 제거해 주십시오."
16012	"………"
16013	"알겠습니다. 제가 도와드리겠습니다."
16014	"지금은 바빠서 도와드릴 수가 없군요."
16015	"아이다 지역에 파병중인 수색부대로부터 최근 데스트리의 숫자가 급속도로 증가되는 이상현상이 포착되었습니다. 아이다 지역에서 데스트리 50마리를 제거해 주십시오."
16016	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
16021	"봉인석의 행방을 쫓고 있는 무리가 기계 전사들을 이용해서 칸투르 폐허 주둔군을 공격하고 있습니다. 가장 귀찮은 스플린터 울프부터 제거해 주세요."
16022	"………"
16023	"알겠습니다. 제가 도와드리겠습니다."
16024	"지금은 바빠서 도와드릴 수가 없군요."
16025	"칸투르 폐허 주둔군이 공격당하고 있습니다. 스플린터 울프 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
16026	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
16031	"최근 첩보에 의하면 겐스의 중요인물을 암살하기 위해 피의 암살자 부대를 파견했다고 합니다. 피의 암살자 50명을 제거하고 중요인물들을 지켜주십시오."
16032	"………"
16033	"알겠습니다. 제가 도와드리겠습니다."
16034	"지금은 바빠서 도와드릴 수가 없군요."
16035	"불카누스 지역에서 피의 암살자 50명을 제거하고 돌아오면 보상을 드리겠습니다."
16036	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
16041	"봉인석을 둘러싼 겐스간 사투가 격렬해 졌습니다. 궁지에 몰린 적들이 사피 두오들을 유인해 우리 부대원들을 공격하고 있습니다. 사피 두오를 제거해 주세요"
16042	"………"
16043	"알겠습니다. 제가 도와드리겠습니다."
16044	"지금은 바빠서 도와드릴 수가 없군요."
16045	"겐스원들을 공격히는 사피 두오 50마리를 저거하고 돌아오면 보상을 드리겠습니다."
16046	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
16801	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
16802	"탐사를 방해하는 베파르 50마리 제거하고 돌아오면 보상을 드리겠습니다."
16803	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
16804	"데스트리 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
16805	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
16806	"스플린터 울프 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
16807	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
16808	" 피의 암살자 50명을 제거하고 돌아오면 보상을 드리겠습니다."
16809	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
16810	"겐스원들을 공격히는 사피 두오 50마리를 저거하고 돌아오면 보상을 드리겠습니다."
16901	"베파르의 난동"
16902	"확산중인 데스트리 제거"
16903	"스플린터 울프 퇴치"
16904	"피의 암살자 제거"
16905	"사피 두오 제거"
//2009.09.16 17xxx 반복 퀘스트 추가 by stunlee(이준희)	
17001	"실버 발키리들이 아틀란스에 주둔중인 수색부대의 군수물자를 약탈하는 사건이 빈번하게 발생한다고 합니다. 수고스럽지만 실버 발키리 도적들을 소탕해 주시겠습니까? "
17002	"………"
17003	"알겠습니다. 제가 도와드리겠습니다."
17004	"지금은 바빠서 도와드릴 수가 없군요."
17005	"군수품을 약탈하는 골치아픈 실버 발키리 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17006	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
17011	"이상합니다. 아르카(Arca)의 아이다 수호자인 데스라이더가 아이다를 탐색중인 겐스원들을 무차별적으로 공격하는 일이 빈번하게 발생하고 있습니다. 아마도 레무리아의 수작이겠지요.  데스라이더를 제거하고 겐스원들을 지켜주세요."
17012	"………"
17013	"알겠습니다. 제가 도와드리겠습니다."
17014	"지금은 바빠서 도와드릴 수가 없군요."
17015	"데스라이더 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17016	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
17021	"아이언 라이더들이 칸투르 폐허의 험난한 지역에서 우리 주둔군을 상대로 펼치는 게릴라 공격에 겐스원들이 당혹스러워 하고 있습니다. 아이언 라이더들을 제거하고 걱정을 덜어 주십시오."
17022	"………"
17023	"알겠습니다. 제가 도와드리겠습니다."
17024	"지금은 바빠서 도와드릴 수가 없군요."
17025	"게릴라 부대를 편성중인 아이언 라이더 50명을 제거하고 돌아오면 보상을 드리겠습니다."
17026	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
17031	"불카누스 용암지대에 불타는 용암거인이 출몰해서 겐스원들이 사방으로 흩어져 버렸다고 합니다. 어서 불카누스의 불타는 용암거인들을 섬멸해 주세요."
17032	"………"
17033	"알겠습니다. 제가 도와드리겠습니다."
17034	"지금은 바빠서 도와드릴 수가 없군요."
17035	"겐스원들을 급습한 불타는 용암거인 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17036	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
17041	"운반중인 봉인석을 뒤쫓고 있는 녀석이 있다는 소문입니다. 고스트 네이핀 녀석들 일거라고 짐작은 하지만 실제 녀석을 본 사람은 없다는 소문입니다. 단지 소문일지도 모르지만 고스트 네이핀을 제거하고 봉인석을 지켜 주십시오."
17042	"………"
17043	"알겠습니다. 제가 도와드리겠습니다."
17044	"지금은 바빠서 도와드릴 수가 없군요."
17045	"고스트 네이핀을 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17046	"아쉽군요. 생각이 바뀌시면 다시 찾아와 주세요.(퀘스트가 취소되었습니다.)"
17801	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
17802	"실버 발키리 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17803	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
17804	"데스라이더 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17805	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
17806	"게릴라 부대를 편성중인 아이언 라이더 50명을 제거하고 돌아오면 보상을 드리겠습니다."
17807	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
17808	"불타는 용암거인 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17809	"겐스에 도움이 되고 싶으신 분은 각 가문의 집사를 찾아가 보세요"
17810	"고스트 네이핀을 50마리를 제거하고 돌아오면 보상을 드리겠습니다."
17901	"약탈자 실버 발키리 제거"
17902	"숲의 반란자"
17903	"신출귀몰 아이언 라이더 소탕"
17904	"불타는 용암 거인의 습격"
17905	"어둠 속에서 움직이는 자"
//2009.09.28 18xxx 반복 퀘스트 추가 by stunlee(이준희)	
18001	"마을 외벽에 거미줄을 쳐서 귀찮게 하는 거미 때문에 귀찮아하는 장로님의 의뢰가 있습니다. 팬텀 부대로 의뢰를 하셨지만 아무래도 이제 막 여행을 시작한 여행자님들이 하기에 적당한 것 같아서 의뢰를 맡기려 합니다. 의뢰를 맡아주시겠습니까? (1~14레벨)"
18002	"어렵지 않은 내용인 거 같은데.."
18003	"의뢰를 수락하겠습니다. (수락)"
18004	"내가 거미 따위를 잡는다는 건 품위에 맞지 않지. (거절)"
18005	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 15레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18006	"마을 주변을 배회하는 거미 10마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18011	"여행자님도 쿤둔에 대해서 잘 아시겠지만 쿤둔의 부대에서 가장 약하고 결속력이 약한 하급 몬스터들이 마을 주변에서 민간인들을 약탈하는 일이 발생하고 있습니다. 약탈자 몬스터의 퇴치를 여행자님께 의뢰하려고 하는데...... 의뢰를 맡아주시겠습니까? (15~25레벨)"
18012	"약탈자라…..."
18013	"의뢰를 수락하겠습니다. (수락)"
18014	"약탈자라 왠지 강해 보이는 걸. (거절)"
18015	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 26레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18016	"마을 동쪽 데비아스 입구쪽(22 45)에서 모여 있는 자이언트 15마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18017	"마을 서남쪽 던전 입구부근(159 205)에서 모여 있는 리치 15마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18018	"마을 남쪽 부근(173 222)에서 모여 있는 아곤 15마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18019	"마을 북쪽 비석 부근(121 156)에서 모여 있는 오염된 나비 15마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18021	"약탈된 물건들이 쿤둔의 부대로 지원된다는 정보가 척후 부대로부터 들어왔습니다. 저희가 보급로의 위치를 파악하는 동안 여행자님은 그 약탈자 몬스터를 관리하는 몬스터를 제거하여 주십시오. 의뢰를 맡아주시겠습니까? (26~35레벨)"
18022	"왠지 심각해지는 것 같은데…..."
18023	"의뢰를 수락하겠습니다. (수락)"
18024	"시간이 없군요. 죄송합니다. (거절)"
18025	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 36레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18026	"마을 서남쪽 던전 입구부근(123 227)에서 모여 있는 해골전사 20마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18027	"마을 동쪽 데비아스 입구쪽(22 45)에서 모여 있는 자이언트 20마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18028	"마을 서남쪽 부근(30 214)에서 모여 있는 돌괴물 20마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18029	"마을 북쪽에 있는 얼굴 동상 부근(151 146)에서 모여 있는 흉측한 토끼 20마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18031	"척후 부대에서 약탈 물이 데비아스를 통해 로스트 타워로 들어간다는 정보를 전해왔습니다. 이제 쿤둔의 부대가 관리하는 데비아스의 보급로를 차단해서 적에게 타격을 줄 수 있을 것 같습니다. 의뢰를 맡아주시겠습니까? (36~45레벨)"
18032	"몬스터 부대의 보급로라…..."
18033	"의뢰를 수락하겠습니다. (수락)"
18034	"시간이 없군요. 죄송합니다. (거절)"
18035	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 46레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18036	"데비아스 2지역으로 가시면 반투명한 얼음괴물들이 보이실 겁니다. 얼음 괴물 25마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18037	"데비아스 마을 밖으로 가시면 하얀 웜이라는 몬스터가 보이실 겁니다. 웜 25마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18041	"보급로의 경비가 많이 허술해진 이틈에 지휘체계를 조금 더 흔들 필요가 있습니다. 보급로를 지키는 몬스터를 관리하는 상급 몬스터를 퇴치하는 의뢰를 드리겠습니다. 의뢰를 맡아주시겠습니까? (46~55레벨)"
18042	"이제 발을 빼긴 늦은 것 같군…..."
18043	"의뢰를 수락하겠습니다. (수락)"
18044	"시간이 없군요. 죄송합니다. (거절)"
18045	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 56레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18046	"데비아스 2지역으로 가시면 이도를 든 검은 암살자들이 보이실 겁니다. 암살자 30마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18047	"데비아스 2지역으로 가시면 반투명한 얼음괴물들이 보이실 겁니다. 얼음 괴물 30마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18051	"보급 창고를 급습하기 전에 창고를 지키는 몬스터들을 퇴치해서 보급 창고를 급습하려고 합니다. 보급 창고의 급습은 척후 부대 본대가 맡아서 처리하도록 하겠습니다. 의뢰를 맡아주시겠습니까? (56~65레벨)"
18052	"어렵진 않은 것 같군…..."
18053	"의뢰를 수락하겠습니다. (수락)"
18054	"시간이 없군요. 죄송합니다. (거절)"
18055	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 66레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18056	"데비아스 2지역으로 가시면 흰 털에 뒤 덮인 설인들이 보이실 겁니다. 설인 30마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18057	"데비아스 2지역으로 가시면 음침한 웃음소리를 흘리며 돌아다니는 호머드들이 보이실 겁니다. 호머드 30마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18061	"로렌시아에 암운을 드리우는 던전에 주둔한 척후 부대와 연락이 원활하지 않아 조사를 해보니 던전의 몬스터가 많이 늘어 연락이 어렵다고 합니다. 던전의 몬스터를 청소해 주시겠습니까? (66~79레벨)"
18062	"던전이라면 어렵지 않지…..."
18063	"의뢰를 수락하겠습니다. (수락)"
18064	"시간이 없군요. 죄송합니다. (거절)"
18065	" 아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... 80레벨이 되기 전에 다시 오시면 의뢰를 맡기도록 하겠습니다. (퀘스트가 취소되었습니다.)"
18066	"던전 1층으로 가시면 도끼를 든 외눈박이 거인인 싸이크롭스들이 보이실 겁니다. 싸이크롭스 40마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18067	"던전 1층으로 가시면  입구 쪽에서 여행자들을 괴롭히는 유충들이 보이실 겁니다. 유충 40마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18071	"일전에 엘베란드의 토템 골렘과 저주 받은 리치에 대한 의뢰는 사실 엘베란드 장로님이 의뢰한 것입니다. 몬스터 퇴치 이후에 더 많은 몬스터가 들어서 다시 의뢰를 하신다고 하더군요. 의뢰를 맡아주시겠습니까? (80~90레벨)"
18072	"엘베란드이라면 어렵지 않지…..."
18073	"의뢰를 수락하겠습니다. (수락)"
18074	"시간이 없군요. 죄송합니다. (거절)"
18075	" 아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... (퀘스트가 취소되었습니다.)"
18076	"엘베란드 3지역으로 가시면 토템에서 탄생한 토템 골렘들이 보이실 겁니다. 토템 골렘 50마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18077	"엘베란드 2지역으로 가시면 불타는 지팡이를 든 저주받은 리치들이 보이실 겁니다. 저주 받은 리치 50마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18081	"로렌시아의 던전에 몬스터들이 다시 불어나고 있다고 합니다. 이것 때문에 척후 부대에서 던전의 내부 상황을 빨리 파악할 수 없다고 해서 여행자님께 몬스터 퇴치 의뢰를 드리려고 합니다. 의뢰를 맡아주시겠습니까? (91~100레벨)"
18082	"다시 던전으로 가야 하나......"
18083	"의뢰를 수락하겠습니다. (수락)"
18084	"시간이 없군요. 죄송합니다. (거절)"
18085	"아쉽군요. 빠른 성장을 위해서 한번쯤 해보시는 것도 나쁘지 않았을 텐데...... (퀘스트가 취소되었습니다.)"
18086	"던전 2층으로 가시면 독을 흘리면서 배회하는 헬하운드들이 보이실 겁니다. 헬하운드 50마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
18087	"던전 1층으로 가시면 도끼를 든 외눈박이 거인인 싸이크롭스들이 보이실 겁니다. 싸이크롭스 50마리를 퇴치하시고 저에게 오시면 보상을 드리겠습니다."
